site	date	mean gage height (feet)	mean discharge (cubic feet / sec)
8155400	2016-02-19	1.91	6.4
8155400	2016-02-20	1.92	6.58
8155400	2016-02-21	1.91	6.39
8155400	2016-02-22	1.89	6.02
8155400	2016-02-23	2.28	9.42
8155400	2016-02-24	2.62	20.5
8155400	2016-02-25	2.28	17.2
8155400	2016-02-26	2.04	10.4
8155400	2016-02-27	1.93	7.73
8155400	2016-02-28	1.89	6.76
8155400	2016-02-29	1.85	5.79
8155400	2016-03-01	1.82	5.18
8155400	2016-03-02	1.8	4.79
8155400	2016-03-03	1.8	4.72
8155400	2016-03-04	1.78	4.4
8155400	2016-03-05	1.78	4.35
8155400	2016-03-06	1.78	4.36
8155400	2016-03-07	1.78	4.47
8155400	2016-03-08	1.79	4.54
8155400	2016-03-09	2.74	42.2
8155400	2016-03-10	3.72	95.5
8155400	2016-03-11	4.1	115
8155400	2016-03-12	5.32	182
8155400	2016-03-13	5.28	178
8155400	2016-03-14	4.43	127
8155400	2016-03-15	4.09	108
8155400	2016-03-16	3.66	88.4
8155400	2016-03-17	3.39	77.7
8155400	2016-03-18	3.3	71.9
8155400	2016-03-19	3.2	65.6
8155400	2016-03-20	3.25	68.6
8155400	2016-03-21	3.08	58.1
8155400	2016-03-22	3.01	53.5
8155400	2016-03-23	2.96	50.6
8155400	2016-03-24	3.05	56.4
8155400	2016-03-25	2.92	48.3
8155400	2016-03-26	2.86	44.6
8155400	2016-03-27	2.76	39
8155400	2016-03-28	2.68	34.7
8155400	2016-03-29	2.64	32.3
8155400	2016-03-30	2.64	32.5
8155400	2016-03-31	2.63	31.9
8155400	2016-04-01	2.58	29.3
8155400	2016-04-02	2.59	29.9
8155400	2016-04-03	2.5	25.4
8155400	2016-04-04	2.43	22.2
8155400	2016-04-05	2.36	20
8155400	2016-04-06	2.31	18.1
8155400	2016-04-07	2.24	16.2
8155400	2016-04-08	2.19	14.6
8155400	2016-04-09	2.16	13.6
8155400	2016-04-10	2.14	13.1
8155400	2016-04-11	2.11	12.3
8155400	2016-04-12	2.15	15.3
8155400	2016-04-13	3.35	76.4
8155400	2016-04-14	3.49	85.7
8155400	2016-04-15	2.79	41.6
8155400	2016-04-16	2.52	26.7
8155400	2016-04-17	4.04	196
8155400	2016-04-18	9.23	608
8155400	2016-04-19	8.16	438
8155400	2016-04-20	6.93	289
8155400	2016-04-21	6.87	288
8155400	2016-04-22	7.38	336
8155400	2016-04-23	6.18	239
8155400	2016-04-24	5.63	205
8155400	2016-04-25	5.29	186
8155400	2016-04-26	4.97	168
8155400	2016-04-27	5.04	172
8155400	2016-04-28	4.71	154
8155400	2016-04-29	4.36	134
8155400	2016-04-30	4.97	169
8155400	2016-05-01	4.7	154
8155400	2016-05-02	4.21	127
8155400	2016-05-03	4.04	119
8155400	2016-05-04	3.87	112
8155400	2016-05-05	3.7	103
8155400	2016-05-06	3.55	92.6
8155400	2016-05-07	3.42	83.7
8155400	2016-05-08	3.34	78.4
8155400	2016-05-09	3.31	76
8155400	2016-05-10	3.2	68.7
8155400	2016-05-11	3.29	74.7
8155400	2016-05-12	3.2	68.7
8155400	2016-05-13	3.09	61.7
8155400	2016-05-14	3.75	107
8155400	2016-05-15	6.93	331
8155400	2016-05-16	5.88	221
8155400	2016-05-17	5.63	207
8155400	2016-05-18	5.51	200
8155400	2016-05-19	8.89	1040
8155400	2016-05-20	9.85	782
8155400	2016-05-21	9.09	579
8155400	2016-05-22	8.34	455
8155400	2016-05-23	7.38	329
8155400	2016-05-24	6.73	274
8155400	2016-05-25	6.19	240
8155400	2016-05-26	5.83	219
8155400	2016-05-27	8.84	635
8155400	2016-05-28	8.53	485
8155400	2016-05-29	7.47	339
8155400	2016-05-30	7.85	399
8155400	2016-05-31	8.53	486
8155400	2016-06-01	9.61	711
8155400	2016-06-02	9.59	721
8155400	2016-06-03	9.32	626
8155400	2016-06-04	9.61	690
8155400	2016-06-05	9.17	594
8155400	2016-06-06	8.57	489
8155400	2016-06-07	7.69	364
8155400	2016-06-08	7.07	299
8155400	2016-06-09	6.95	293
8155400	2016-06-10	6.28	246
8155400	2016-06-11	5.84	220
8155400	2016-06-12	5.5	201
8155400	2016-06-13	5.24	187
8155400	2016-06-14	5	175
8155400	2016-06-15	4.78	163
8155400	2016-06-16	4.53	149
8155400	2016-06-17	4.31	136
